Attribute Name,Attribute Class Name,Code
Carriageway label,Carriageway A of a divided road,1
Carriageway label,Carriageway B of a divided road,2
Carriageway label,Undivided road,3
Carriageway label,Carriageway A of a motorcycle facility,4
Carriageway label,Carriageway B of a motorcycle facility,5
Motorcycle observed flow,8+ motorcycles,6
Motorcycle observed flow,6 to 7 motorcycles,5
Motorcycle observed flow,4 to 5 motorcycles,4
Motorcycle observed flow,2 to 3 motorcycles,3
Motorcycle observed flow,1 motorcycle,2
Motorcycle observed flow,,1
Bicycle observed flow,8+ bicycles,6
Bicycle observed flow,6 to 7 bicycles,5
Bicycle observed flow,4 to 5 bicycles,4
Bicycle observed flow,2 to 3 bicycles,3
Bicycle observed flow,1 bicycle,2
Bicycle observed flow,,1
Ped observed flow across,8+ pedestrians,6
Ped observed flow across,6 to 7 pedestrians,5
Ped observed flow across,4 to 5 pedestrians,4
Ped observed flow across,2 to 3 pedestrians,3
Ped observed flow across,1 pedestrian,2
Ped observed flow across,,1
Ped observed flow along - driver-side,8+ pedestrians,6
Ped observed flow along - driver-side,6 to 7 pedestrians,5
Ped observed flow along - driver-side,4 to 5 pedestrians,4
Ped observed flow along - driver-side,2 to 3 pedestrians,3
Ped observed flow along - driver-side,1 pedestrian,2
Ped observed flow along - driver-side,,1
Ped observed flow along - passenger-side,8+ pedestrians,6
Ped observed flow along - passenger-side,6 to 7 pedestrians,5
Ped observed flow along - passenger-side,4 to 5 pedestrians,4
Ped observed flow along - passenger-side,2 to 3 pedestrians,3
Ped observed flow along - passenger-side,1 pedestrian,2
Ped observed flow along - passenger-side,,1
Speed limit,≥150km/h,25
Speed limit,140km/h,23
Speed limit,130km/h,21
Speed limit,120km/h,19
Speed limit,110km/h,17
Speed limit,100km/h,15
Speed limit,90km/h,13
Speed limit,80km/h,11
Speed limit,70km/h,9
Speed limit,60km/h,7
Speed limit,50km/h,5
Speed limit,40km/h,3
Speed limit,<30km/h,1
Speed limit,≥90mph,45
Speed limit,80mph,43
Speed limit,70mph,41
Speed limit,60mph,39
Speed limit,50mph,37
Speed limit,40mph,35
Speed limit,30mph,33
Speed limit,<20mph,31
Motorcycle speed limit,≥150km/h,25
Motorcycle speed limit,140km/h,23
Motorcycle speed limit,130km/h,21
Motorcycle speed limit,120km/h,19
Motorcycle speed limit,110km/h,17
Motorcycle speed limit,100km/h,15
Motorcycle speed limit,90km/h,13
Motorcycle speed limit,80km/h,11
Motorcycle speed limit,70km/h,9
Motorcycle speed limit,60km/h,7
Motorcycle speed limit,50km/h,5
Motorcycle speed limit,40km/h,3
Motorcycle speed limit,<30km/h,1
Motorcycle speed limit,≥90mph,45
Motorcycle speed limit,80mph,43
Motorcycle speed limit,70mph,41
Motorcycle speed limit,60mph,39
Motorcycle speed limit,50mph,37
Motorcycle speed limit,40mph,35
