Dataset ID,Country Name,Country Code,Region Name,Region Code,Description
980,Ukraine,UKR,Eastern Europe,EE,UKR (1 dataset)
1240,Slovenia,SLO,EU Central/Adriatic,CA,SLO (2 datasets)
1242,Slovenia,SLO,EU Central/Adriatic,CA,SLO (2 datasets)
1246,Bosnia and Herzegovina,BIH,Western Balkans (non-EU),WB,BIH (2 datasets)
1247,Bosnia and Herzegovina,BIH,Western Balkans (non-EU),WB,BIH (2 datasets)
1398,Bulgaria,BGR,EU Southeast Europe,SE,BGR (1 dataset)
1400,Romania,ROU,EU Southeast Europe,SE,ROU (1 dataset)
1424,Croatia,HRV,EU Central/Adriatic,CA,HRV (3 datasets)
1425,Croatia,HRV,EU Central/Adriatic,CA,HRV (3 datasets)
1426,Croatia,HRV,EU Central/Adriatic,CA,HRV (3 datasets)
12008,Montenegro,MNE,Western Balkans (non-EU),WB,MNE (1 dataset)
12983,Greece,GRC,EU Southeast Europe,SE,GRC (1 dataset)
